nohup: ignoring input
phoenix-srun: job 4931560 queued and waiting for resources
phoenix-srun: job 4931560 has been allocated resources
phoenix-srun: Job 4931560 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.42s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.49s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.51s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.08s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.23s/it]
======================================== Config ========================================
lora: 
    enable: false,
    r: 8,
    a: 16,
    dropout: 0
========================================================================================
[33mcorpus: [39;49;00m[32m[Kdata/slimpajama/arxiv.json:	1000/1000[39;49;00m
[33mBase GPU memory allocated:[39;49;00m[32m15316 MB[39;49;00m
/mnt/petrelfs/lijie/miniconda3/envs/llava/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
step-60    | loss: 8.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7186
step-61    | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7189
step-62    | loss: 8.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7196
step-63    | loss: 7.969 | avg time: 0.182 | max memory: 31228.685 | seq len:       7206
step-64    | loss: 8.750 | avg time: 0.182 | max memory: 31228.685 | seq len:       7204
step-65    | loss: 8.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7193
step-66    | loss: 8.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7196
step-67    | loss: 8.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7189
step-68    | loss: 8.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7173
step-69    | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7165
step-70    | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7189
step-71    | loss: 7.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7213
step-72    | loss: 7.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7228
step-73    | loss: 8.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7235
step-74    | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7248
step-75    | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7245
step-76    | loss: 8.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7239
step-77    | loss: 8.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7217
step-78    | loss: 8.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7176
step-79    | loss: 8.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7155
step-80    | loss: 7.656 | avg time: 0.182 | max memory: 31228.685 | seq len:       7174
step-81    | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7188
step-82    | loss: 8.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       7191
step-83    | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7202
step-84    | loss: 8.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7214
step-85    | loss: 8.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7206
step-86    | loss: 8.625 | avg time: 0.182 | max memory: 31228.685 | seq len:       7187
step-87    | loss: 10.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7106
step-88    | loss: 8.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       7100
step-89    | loss: 8.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7082
step-90    | loss: 8.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7075
step-91    | loss: 8.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7065
step-92    | loss: 8.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7076
step-93    | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7051
step-94    | loss: 8.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7052
step-95    | loss: 8.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7046
step-96    | loss: 8.375 | avg time: 0.182 | max memory: 31228.685 | seq len:       7037
step-97    | loss: 8.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7047
step-98    | loss: 8.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7048
step-99    | loss: 7.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7052
step-100   | loss: 7.656 | avg time: 0.182 | max memory: 31228.685 | seq len:       7080
step-101   | loss: 7.656 | avg time: 0.182 | max memory: 31228.685 | seq len:       7081
step-102   | loss: 8.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7068
step-103   | loss: 7.531 | avg time: 0.182 | max memory: 31228.685 | seq len:       7085
step-104   | loss: 7.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7095
step-105   | loss: 8.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7098
step-106   | loss: 7.469 | avg time: 0.182 | max memory: 31228.685 | seq len:       7121
step-107   | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7118
step-108   | loss: 7.156 | avg time: 0.182 | max memory: 31228.685 | seq len:       7135
step-109   | loss: 7.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7146
step-110   | loss: 7.750 | avg time: 0.182 | max memory: 31228.685 | seq len:       7150
step-111   | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7163
step-112   | loss: 7.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7161
step-113   | loss: 6.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7188
step-114   | loss: 8.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7172
step-115   | loss: 7.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7181
step-116   | loss: 7.156 | avg time: 0.182 | max memory: 31228.685 | seq len:       7186
step-117   | loss: 7.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7202
step-118   | loss: 7.969 | avg time: 0.182 | max memory: 31228.685 | seq len:       7209
step-119   | loss: 7.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       7207
step-120   | loss: 7.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7213
step-121   | loss: 7.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7210
step-122   | loss: 7.625 | avg time: 0.182 | max memory: 31228.685 | seq len:       7202
step-123   | loss: 8.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7194
step-124   | loss: 7.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7189
step-125   | loss: 7.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7198
step-126   | loss: 8.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7189
step-127   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7203
step-128   | loss: 8.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7195
step-129   | loss: 7.750 | avg time: 0.182 | max memory: 31228.685 | seq len:       7204
step-130   | loss: 8.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7191
step-131   | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7179
step-132   | loss: 7.156 | avg time: 0.182 | max memory: 31228.685 | seq len:       7209
step-133   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7211
step-134   | loss: 7.344 | avg time: 0.182 | max memory: 31228.685 | seq len:       7212
step-135   | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7205
step-136   | loss: 7.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7208
step-137   | loss: 7.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7223
step-138   | loss: 7.156 | avg time: 0.182 | max memory: 31228.685 | seq len:       7228
step-139   | loss: 7.219 | avg time: 0.182 | max memory: 31228.685 | seq len:       7235
step-140   | loss: 8.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7223
step-141   | loss: 7.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7227
step-142   | loss: 7.156 | avg time: 0.182 | max memory: 31228.685 | seq len:       7236
step-143   | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7233
step-144   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7249
step-145   | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7242
step-146   | loss: 7.781 | avg time: 0.182 | max memory: 31228.685 | seq len:       7238
step-147   | loss: 7.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7227
step-148   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7239
step-149   | loss: 8.750 | avg time: 0.182 | max memory: 31228.685 | seq len:       7236
step-150   | loss: 7.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7227
step-151   | loss: 7.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7216
step-152   | loss: 7.781 | avg time: 0.182 | max memory: 31228.685 | seq len:       7216
step-153   | loss: 8.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7205
step-154   | loss: 7.594 | avg time: 0.182 | max memory: 31228.685 | seq len:       7206
step-155   | loss: 8.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7210
step-156   | loss: 8.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7207
step-157   | loss: 7.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7212
step-158   | loss: 7.344 | avg time: 0.182 | max memory: 31228.685 | seq len:       7220
step-159   | loss: 7.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7223
step-160   | loss: 7.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7233
step-161   | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7229
step-162   | loss: 7.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7237
step-163   | loss: 8.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7201
step-164   | loss: 7.469 | avg time: 0.182 | max memory: 31228.685 | seq len:       7200
step-165   | loss: 7.344 | avg time: 0.182 | max memory: 31228.685 | seq len:       7205
step-166   | loss: 7.344 | avg time: 0.182 | max memory: 31228.685 | seq len:       7216
step-167   | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7219
step-168   | loss: 8.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7214
step-169   | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7209
step-170   | loss: 8.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7203
step-171   | loss: 7.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7199
step-172   | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7198
step-173   | loss: 9.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7157
step-174   | loss: 7.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7154
step-175   | loss: 7.656 | avg time: 0.182 | max memory: 31228.685 | seq len:       7156
step-176   | loss: 7.969 | avg time: 0.182 | max memory: 31228.685 | seq len:       7133
step-177   | loss: 7.531 | avg time: 0.182 | max memory: 31228.685 | seq len:       7134
step-178   | loss: 7.969 | avg time: 0.182 | max memory: 31228.685 | seq len:       7132
step-179   | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7134
step-180   | loss: 7.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7131
step-181   | loss: 7.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7132
step-182   | loss: 6.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7144
step-183   | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7141
step-184   | loss: 7.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7141
step-185   | loss: 7.219 | avg time: 0.182 | max memory: 31228.685 | seq len:       7152
step-186   | loss: 8.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7128
step-187   | loss: 7.656 | avg time: 0.182 | max memory: 31228.685 | seq len:       7117
step-188   | loss: 7.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7133
step-189   | loss: 8.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7131
step-190   | loss: 8.375 | avg time: 0.182 | max memory: 31228.685 | seq len:       7122
step-191   | loss: 8.375 | avg time: 0.182 | max memory: 31228.685 | seq len:       7111
step-192   | loss: 7.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7121
step-193   | loss: 7.219 | avg time: 0.182 | max memory: 31228.685 | seq len:       7092
step-194   | loss: 8.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       7085
step-195   | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7085
step-196   | loss: 8.500 | avg time: 0.182 | max memory: 31228.685 | seq len:       7088
step-197   | loss: 7.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7096
step-198   | loss: 6.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       7116
step-199   | loss: 7.562 | avg time: 0.182 | max memory: 31228.685 | seq len:       7118
step-200   | loss: 7.438 | avg time: 0.182 | max memory: 31228.685 | seq len:       7122
step-201   | loss: 7.469 | avg time: 0.182 | max memory: 31228.685 | seq len:       7127
step-202   | loss: 7.594 | avg time: 0.182 | max memory: 31228.685 | seq len:       7129
step-203   | loss: 7.375 | avg time: 0.182 | max memory: 31228.685 | seq len:       7134
step-204   | loss: 7.656 | avg time: 0.182 | max memory: 31228.685 | seq len:       7133
step-205   | loss: 8.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7131
step-206   | loss: 7.344 | avg time: 0.182 | max memory: 31228.685 | seq len:       7138
step-207   | loss: 7.219 | avg time: 0.182 | max memory: 31228.685 | seq len:       7147
step-208   | loss: 7.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7151
step-209   | loss: 8.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7151
step-210   | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7153
